doy,tree,grass,weed,mold
108,99,20,0,31
109,99,22,0,32
110,98,23,0,32
111,98,24,0,33
112,97,25,0,34
113,96,27,0,34
114,95,28,0,35
115,94,30,0,36
116,93,31,0,37
117,91,32,0,37
118,90,34,0,38
119,88,36,0,39
120,87,37,0,39
121,85,39,0,40
122,83,41,0,41
123,81,42,0,42
124,79,44,0,42
125,77,46,0,43
126,75,48,0,44
127,73,49,0,45
128,71,51,0,45
129,69,53,0,46
130,67,55,0,47
131,65,57,0,48
132,63,59,0,48
133,61,61,0,49
134,58,63,0,50
135,56,64,0,51
136,54,66,0,51
137,52,68,0,52
138,50,70,0,53
139,48,72,0,54
140,46,74,0,55
141,44,75,0,55
142,42,77,0,56
143,40,79,0,57
144,38,81,0,58
145,36,82,0,58
146,34,84,0,59
147,32,85,0,60
148,31,87,0,61
149,29,88,0,62
150,27,90,0,62
151,26,91,0,63
152,24,92,0,64
153,23,93,0,65
154,22,94,0,65
155,20,95,0,66
156,19,96,0,67
157,18,97,0,68
158,17,98,0,68
159,16,98,0,69
160,15,99,0,70
161,14,99,0,70
162,13,100,0,71
163,12,100,0,72
164,11,100,0,73
165,10,100,0,73
166,9,100,0,74
167,9,100,0,75
168,8,100,0,75
169,7,99,0,76
170,7,99,0,76
171,6,98,1,77
172,6,98,1,78
173,5,97,1,78
174,5,96,1,79
175,4,95,1,79
176,4,94,1,80
177,4,93,1,81
178,3,92,1,81
179,3,91,1,82
180,3,90,2,82
181,3,88,2,83
182,2,87,2,83
183,2,85,2,84
184,2,84,2,84
185,2,82,3,84
186,2,81,3,85
187,1,79,3,85
188,1,77,4,86
189,1,75,4,86
190,1,74,4,86
191,1,72,5,87
192,1,70,5,87
193,1,68,6,87
194,1,66,6,88
195,1,64,7,88
196,1,63,8,88
197,0,61,8,89
198,0,59,9,89
199,0,57,10,89
200,0,55,11,89
201,0,53,12,89
202,0,51,13,90
203,0,49,14,90
204,0,48,15,90
205,0,46,16,90
206,0,44,17,90
207,0,42,18,90
208,0,41,20,90
209,0,39,21,90
210,0,37,22,90
211,0,36,24,91
212,0,34,25,91
213,0,32,27,91
214,0,31,29,91
215,0,30,31,91
216,0,28,32,91
217,0,27,34,91
218,0,25,36,90
219,0,24,38,90
220,0,23,40,90
221,0,22,43,90
222,0,20,45,90
223,0,19,47,90
224,0,18,49,90
225,0,17,51,90
226,0,16,54,90
227,0,15,56,90
228,0,14,58,90
229,0,14,61,89
230,0,13,63,89
231,0,12,65,89
232,0,11,68,89
233,0,10,70,89
234,0,10,72,89
235,0,9,74,89
236,0,9,77,89
237,0,8,79,89
238,0,7,81,88
239,0,7,83,88
240,0,6,85,88
241,0,6,87,88
242,0,6,88,88
243,0,5,90,88
244,0,5,91,88
245,0,4,93,88
246,0,4,94,88
247,0,4,95,88
248,0,3,96,88
249,0,3,97,88
250,0,3,98,88
251,0,3,99,88
252,0,2,99,88
253,0,2,100,88
254,0,2,100,88
255,0,2,100,88
256,0,2,100,88
257,0,2,100,88
258,0,1,99,88
259,0,1,99,88
260,0,1,98,88
261,0,1,97,88
262,0,1,96,88
263,0,1,95,89
264,0,1,94,89
265,0,1,93,89
266,0,1,91,89
267,0,1,90,89
268,0,1,88,89
269,0,1,87,89
270,0,0,85,90
271,0,0,83,90
272,0,0,81,90
273,0,0,79,90
274,0,0,77,90
275,0,0,74,90
276,0,0,72,90
277,0,0,70,90
278,0,0,68,91
279,0,0,65,91
280,0,0,63,91
281,0,0,61,91
282,0,0,58,91
283,0,0,56,91
284,0,0,54,91
285,0,0,51,90
286,0,0,49,90
287,0,0,47,90
288,0,0,45,90
289,0,0,43,90
290,0,0,40,89
291,0,0,38,89
292,0,0,36,89
293,0,0,34,88
294,0,0,32,88
295,0,0,31,87
296,0,0,29,87
297,0,0,27,86
298,0,0,25,86
299,0,0,24,85
300,0,0,22,84
301,0,0,21,84
302,0,0,20,83
303,0,0,18,82
304,0,0,17,81
305,0,0,16,80
306,0,0,15,79
307,0,0,14,78
308,0,0,13,77
309,0,0,12,76
310,0,0,11,75
311,0,0,10,74
312,0,0,9,73
313,0,0,8,71
314,0,0,8,70
315,0,0,7,69
316,0,0,6,68
317,0,0,6,66
318,0,0,5,65
319,0,0,5,64
320,0,0,4,62
321,0,0,4,61
322,0,0,4,59
323,0,0,3,58
324,0,0,3,57
325,0,0,3,55
326,0,0,2,54
327,0,0,2,52
328,0,0,2,51
329,0,0,2,49
330,0,0,2,48
331,0,0,1,47
332,0,0,1,45
333,0,0,1,44
334,0,0,1,42
335,0,0,1,41
336,0,0,1,40
337,0,0,1,38
338,0,0,1,37
339,0,0,1,36
340,0,0,0,35
341,0,0,0,33
342,0,0,0,32
343,0,0,0,31
344,0,0,0,30
345,0,0,0,29
346,0,0,0,28
347,0,0,0,26
348,0,0,0,25
349,0,0,0,24
350,0,0,0,23
351,0,0,0,22
352,0,0,0,22
353,0,0,0,21
354,0,0,0,20
355,0,0,0,19
356,0,0,0,18
357,0,0,0,17
358,0,0,0,17
359,0,0,0,16
360,0,0,0,15
361,0,0,0,14
362,0,0,0,14
363,0,0,0,13
364,0,0,0,13
365,0,0,0,12
