doy,tree,grass,weed,mold
232,0,16,75,96
233,0,15,76,96
234,0,14,78,96
235,0,14,80,95
236,0,13,82,95
237,0,12,84,94
238,0,11,85,94
239,0,11,87,94
240,0,10,88,93
241,0,9,90,93
242,0,9,91,92
243,0,8,92,92
244,0,8,93,91
245,0,7,95,91
246,0,7,96,90
247,0,6,97,90
248,0,6,97,89
249,0,6,98,89
250,0,5,99,88
251,0,5,99,88
252,0,5,100,87
253,0,4,100,87
254,0,4,100,86
255,0,4,100,85
256,0,3,100,85
257,0,3,100,84
258,0,3,100,84
259,0,3,99,83
260,0,3,99,82
261,0,2,98,82
262,0,2,97,81
263,0,2,97,80
264,0,2,96,80
265,0,2,95,79
266,0,2,93,78
267,0,1,92,78
268,0,1,91,77
269,0,1,90,76
270,0,1,88,75
271,0,1,87,75
272,0,1,85,74
273,0,1,84,73
274,0,1,82,73
275,0,1,80,72
276,0,1,78,71
277,0,1,76,70
278,0,1,75,70
279,0,0,73,69
280,0,0,71,68
281,0,0,69,67
282,0,0,67,67
283,0,0,65,66
284,0,0,63,65
285,0,0,61,64
286,0,0,59,64
287,0,0,57,63
288,0,0,55,62
289,0,0,53,61
290,0,0,51,61
291,0,0,49,60
292,0,0,47,59
293,0,0,45,58
294,0,0,43,58
295,0,0,41,57
296,0,0,39,56
297,0,0,38,55
298,0,0,36,55
299,0,0,34,54
300,0,0,32,53
301,0,0,31,52
302,0,0,29,52
303,0,0,28,51
304,0,0,26,50
305,0,0,25,49
306,0,0,24,49
307,0,0,22,48
308,0,0,21,47
309,0,0,20,47
310,0,0,19,46
311,0,0,18,45
312,0,0,16,44
313,0,0,15,44
314,0,0,14,43
315,0,0,14,42
316,0,0,13,42
317,0,0,12,41
318,0,0,11,40
319,0,0,10,40
320,0,0,10,39
321,0,0,9,38
322,0,0,8,38
323,0,0,8,37
324,0,0,7,36
325,0,0,7,36
326,0,0,6,35
327,0,0,6,34
328,0,0,5,34
329,0,0,5,33
330,0,0,4,32
331,0,0,4,32
332,0,0,4,31
333,0,0,3,31
334,0,0,3,30
335,0,0,3,30
336,0,0,3,29
337,0,0,2,28
338,0,0,2,28
339,0,0,2,27
340,0,0,2,27
341,0,0,2,26
342,0,0,1,26
343,0,0,1,25
344,0,0,1,25
345,0,0,1,24
346,0,0,1,24
347,0,0,1,23
348,0,0,1,23
349,0,0,1,22
350,0,0,1,22
351,0,0,1,21
352,0,0,1,21
353,0,0,0,20
354,0,0,0,20
355,0,0,0,19
356,0,0,0,19
357,0,0,0,18
358,0,0,0,18
359,0,0,0,18
360,0,0,0,17
361,0,0,0,17
362,0,0,0,16
363,0,0,0,16
364,0,0,0,16
365,0,0,0,15
